,y_true
0,2994.63525390625
1,7375.76416015625
2,5610.2607421875
3,4342.90380859375
4,2823.9736328125
5,5956.33056640625
6,6913.2294921875
7,5923.71533203125
8,4896.65380859375
9,6444.29833984375
10,5673.109375
11,3985.9951171875
12,3825.98974609375
13,5905.2216796875
14,4937.07470703125
15,5808.0009765625
16,5375.18359375
17,4760.119140625
18,4847.54833984375
19,4360.39501953125
20,7659.29443359375
21,6113.25537109375
22,4759.01025390625
23,4210.6591796875
24,5357.0732421875
25,6572.2763671875
26,5541.10986328125
27,4546.66796875
28,4504.24267578125
29,5487.29736328125
30,5508.8564453125
31,4812.5341796875
32,8262.474609375
33,6585.990234375
34,5864.138671875
35,6861.80322265625
36,6284.130859375
37,6643.337890625
38,5145.79443359375
39,5771.60400390625
40,5955.0146484375
41,4793.32861328125
42,5877.88427734375
43,5283.5068359375
44,4802.1416015625
45,5477.02392578125
46,7412.38037109375
47,7444.36328125
48,5560.861328125
49,6361.83935546875
50,6607.216796875
51,7098.16357421875
52,6174.43798828125
53,4524.849609375
54,4969.0185546875
55,4835.2958984375
56,6136.39453125
57,5484.61279296875
58,4448.31591796875
59,4686.15380859375
60,6137.32080078125
61,4690.146484375
62,7965.84375
63,5828.6103515625
64,6180.1435546875
65,7121.986328125
66,6917.3369140625
67,6654.791015625
68,5249.95458984375
69,4928.27978515625
70,5500.9990234375
71,5360.814453125
72,4976.875
73,5703.076171875
74,4009.640625
75,5261.87890625
76,7497.267578125
77,6589.37109375
78,5988.02978515625
79,6932.82958984375
80,7163.259765625
81,6726.5732421875
82,5500.51953125
83,5293.400390625
84,5238.451171875
85,5745.5322265625
86,5717.87841796875
87,5352.466796875
88,4591.80712890625
89,3814.4033203125
90,4346.24755859375
91,6209.06201171875
92,6521.40771484375
93,5491.1767578125
94,6629.72998046875
95,7454.57421875
96,7137.109375
97,6005.798828125
98,5091.2353515625
99,5185.64111328125
100,5327.86279296875
101,5550.6474609375
102,5855.00244140625
103,5135.2431640625
104,4756.6923828125
105,4068.22900390625
106,3923.230224609375
107,7398.9833984375
108,4166.45263671875
109,6124.04638671875
110,7358.01171875
111,7197.8544921875
112,5265.69189453125
113,5027.53125
114,4771.4404296875
115,5539.7431640625
116,5646.4326171875
117,5778.11376953125
118,5646.98974609375
119,4968.587890625
120,4859.1533203125
121,7264.62939453125
122,5018.859375
123,5189.490234375
124,7190.59033203125
125,7370.08544921875
126,5596.75390625
127,4579.833984375
128,3809.11669921875
129,4657.1728515625
130,5658.50732421875
131,5958.7236328125
132,5537.73974609375
133,5145.62158203125
134,4836.75390625
135,3154.501953125
136,5688.9833984375
137,7321.83251953125
138,5736.9375
139,4640.87939453125
140,6559.66455078125
141,7184.93994140625
142,7451.6904296875
143,6130.4345703125
144,4492.27734375
145,4104.9130859375
146,5715.333984375
147,5885.82470703125
148,5694.7666015625
149,5293.8125
150,5137.837890625
151,4384.39501953125
152,5621.673828125
153,7257.990234375
154,5052.181640625
155,4869.677734375
156,6717.46044921875
157,5710.76123046875
158,6333.59326171875
159,5617.978515625
160,4540.6103515625
161,5011.69091796875
162,5646.4443359375
163,5161.8701171875
164,4825.26171875
165,4952.41845703125
166,4937.6044921875
167,6188.82470703125
168,7634.142578125
169,6561.21337890625
170,5796.796875
171,6665.9296875
172,7378.43701171875
173,5684.4697265625
174,5733.75439453125
175,5797.2001953125
176,5310.20166015625
177,4636.33837890625
178,5800.24951171875
179,5016.07177734375
180,4861.47998046875
181,5009.48388671875
182,4902.88623046875
183,7153.82080078125
184,7484.23486328125
185,6146.99951171875
186,6840.7822265625
187,7236.06884765625
188,7335.88671875
189,5423.6552734375
190,5708.0546875
191,5636.82177734375
192,5939.83837890625
193,5849.1279296875
194,4685.068359375
195,4761.70361328125
196,4867.36669921875
197,3863.83837890625
198,7560.98046875
199,7546.390625
200,6066.48486328125
201,6558.9765625
202,7239.1279296875
203,7653.18017578125
204,6534.33935546875
205,5644.42919921875
206,5575.4775390625
207,5865.982421875
208,7358.6552734375
209,6391.88037109375
210,6286.529296875
211,3433.885498046875
212,4444.21240234375
213,7207.0029296875
214,7547.7275390625
215,6215.06982421875
216,6056.392578125
217,6980.28076171875
218,7251.66064453125
219,7062.3056640625
220,6187.92333984375
221,5868.04150390625
222,5824.5654296875
223,6956.6884765625
224,7863.2822265625
225,6778.4697265625
226,7491.49072265625
227,4875.697265625
228,4988.77734375
229,7724.10791015625
230,6011.017578125
231,5501.29931640625
232,6352.16015625
233,6023.8759765625
234,6150.64501953125
235,6104.24853515625
236,5870.44140625
237,5730.54541015625
238,6191.3935546875
239,8095.31298828125
240,8493.2880859375
241,6664.83349609375
242,7423.2919921875
243,3262.332763671875
244,7135.474609375
245,6724.3056640625
246,5596.064453125
247,6420.58447265625
248,6235.5810546875
249,7203.955078125
250,6108.06103515625
251,5797.3125
252,5623.05712890625
253,5795.009765625
254,4854.462890625
255,9246.912109375
256,7886.06884765625
257,6676.24072265625
258,5037.54248046875
259,7060.07177734375
260,7143.576171875
261,5927.42822265625
262,5993.197265625
263,7100.0087890625
264,7016.8818359375
265,6731.95556640625
266,5653.32275390625
267,5582.34130859375
268,5758.794921875
269,4753.09033203125
270,4221.35546875
271,8742.7998046875
272,6089.314453125
273,6049.83251953125
274,5289.5166015625
275,7827.06103515625
276,6425.2724609375
277,6026.755859375
278,6532.90576171875
279,7024.357421875
280,5471.64599609375
281,5900.6875
282,5818.86376953125
283,5838.4892578125
284,5424.271484375
285,4079.98291015625
286,6861.0439453125
287,6899.13427734375
288,5774.5908203125
289,7949.61474609375
290,6680.13623046875
291,5606.0302734375
292,6655.54736328125
293,6955.88671875
294,6689.22216796875
295,5878.25439453125
296,5823.77880859375
297,5771.38916015625
298,5896.40283203125
299,4679.63427734375
300,5005.13671875
301,5806.34033203125
302,5859.00439453125
303,4198.48291015625
304,7289.49755859375
305,7649.45166015625
306,5839.2509765625
307,5927.5478515625
308,7273.07568359375
309,6834.17578125
310,6191.548828125
311,5820.51708984375
312,5903.4775390625
313,5796.70068359375
314,6112.00732421875
315,7063.08642578125
316,7264.98046875
317,5496.12451171875
318,5055.39892578125
319,4957.93505859375
320,8045.35791015625
321,6194.2177734375
322,5685.6572265625
323,6584.671875
324,7749.07421875
325,6569.3525390625
326,5714.9521484375
327,5835.04736328125
328,5769.306640625
329,5154.30517578125
330,3924.53125
331,7537.22021484375
332,6424.7119140625
333,6092.904296875
334,7888.0537109375
335,6695.68359375
336,5633.373046875
337,6274.00634765625
338,7400.29833984375
339,6633.23828125
340,5722.93359375
341,5710.67529296875
342,5676.71142578125
343,5454.38330078125
344,5029.9892578125
345,5545.8115234375
346,6263.03076171875
347,4601.98486328125
348,3496.39794921875
349,7391.28369140625
350,6998.79296875
351,5529.72802734375
352,5838.18408203125
353,6917.99072265625
354,6908.275390625
355,6290.0810546875
356,5688.13916015625
357,5581.689453125
358,5622.93408203125
359,4064.164794921875
360,5434.9541015625
361,4734.7099609375
362,5605.69775390625
363,4876.55615234375
364,4801.45947265625
365,7833.1796875
366,5730.1630859375
367,5601.798828125
368,6590.71484375
369,7246.5556640625
370,6197.56005859375
371,5968.3974609375
372,5702.146484375
373,5512.8037109375
374,5457.025390625
375,5176.07275390625
376,5182.38427734375
377,5308.267578125
378,6281.04736328125
379,8007.1513671875
380,6143.291015625
381,5648.87255859375
382,6122.2431640625
383,7482.1796875
384,6639.12451171875
385,6064.81787109375
386,5732.9189453125
387,5145.5751953125
388,4476.30712890625
389,6500.638671875
390,5307.33740234375
391,5240.9228515625
392,5091.07568359375
393,7105.93603515625
394,6534.09912109375
395,5412.77001953125
396,6148.79443359375
397,7051.23583984375
398,6960.49462890625
399,6112.66455078125
400,5838.25830078125
401,6123.62548828125
402,4724.49365234375
403,5052.96044921875
404,8450.8515625
405,6058.86083984375
406,5551.3974609375
407,4240.35546875
408,4676.8388671875
409,7218.83837890625
410,5337.53515625
411,5817.607421875
412,6524.53271484375
413,6931.45068359375
414,6463.22412109375
415,5903.06591796875
416,5864.91943359375
417,5809.89013671875
418,4210.107421875
419,7914.48681640625
420,8552.919921875
421,5887.0732421875
422,5289.36083984375
423,7621.0458984375
424,5779.13134765625
425,5343.17578125
426,5810.046875
427,7297.080078125
428,6564.64453125
429,6122.02001953125
430,6026.896484375
431,5790.65576171875
432,5908.31591796875
433,7403.35009765625
434,8166.63232421875
435,6789.2451171875
436,5683.95263671875
437,6461.3408203125
438,5972.26611328125
439,5418.8837890625
440,6092.18896484375
441,5789.6318359375
442,6700.0966796875
443,6171.341796875
444,5802.533203125
445,5588.00048828125
446,6243.970703125
447,7203.6416015625
448,8915.236328125
449,7116.1630859375
450,5668.70654296875
451,3701.579833984375
452,3445.917236328125
453,4983.732421875
454,4543.2890625
455,5730.34423828125
456,5863.6259765625
457,5839.48828125
458,6087.73388671875
459,6054.09716796875
460,6035.953125
461,4998.681640625
462,5694.982421875
463,7226.482421875
464,7874.81298828125
465,6810.40185546875
466,5036.14453125
467,7176.48095703125
468,6293.04248046875
469,7201.09033203125
470,6564.20361328125
471,5068.83349609375
472,4863.01708984375
473,5463.70654296875
474,6168.9560546875
475,5807.5439453125
476,5506.64892578125
477,5483.7548828125
478,5869.57470703125
479,5975.87890625
480,5423.28515625
481,2665.12890625
482,3386.760498046875
483,3588.750244140625
484,4760.0986328125
485,5025.82373046875
486,6534.31591796875
487,6970.95947265625
488,6090.33203125
489,6347.7578125
490,4590.8134765625
491,5571.9736328125
492,5248.3701171875
493,6903.349609375
494,5735.03076171875
495,8441.0595703125
496,11383.9921875
497,12751.576171875
498,10785.3408203125
499,8035.29638671875
500,8218.619140625
501,13179.5302734375
502,11488.7353515625
503,9383.9736328125
504,12401.4287109375
505,10485.951171875
506,7196.0322265625
507,14286.462890625
508,12063.4814453125
509,8123.919921875
510,7650.61181640625
511,7766.95068359375
512,10522.857421875
513,12985.8564453125
514,12424.58984375
515,11931.994140625
516,13569.919921875
517,11378.845703125
518,7849.404296875
519,7367.23583984375
520,5036.11376953125
521,4527.125
522,9267.7548828125
523,13456.154296875
524,10651.2216796875
525,7092.41455078125
526,8460.123046875
527,12327.0830078125
528,12293.7216796875
529,7127.28173828125
530,7324.21240234375
531,5861.32275390625
532,5073.85009765625
533,5185.931640625
534,4751.95947265625
535,9900.453125
536,9731.794921875
537,5659.99462890625
538,12444.7314453125
539,12583.384765625
540,8745.517578125
541,7560.11279296875
542,5718.119140625
543,5362.5849609375
544,5910.9130859375
545,6701.0556640625
546,7320.31396484375
547,12769.0361328125
548,10066.291015625
549,12274.8759765625
550,13728.0869140625
551,11144.4697265625
552,7510.52099609375
553,6811.49609375
554,5108.71630859375
555,5289.5419921875
556,6496.37890625
557,6714.005859375
558,11693.1220703125
559,11982.2568359375
560,9386.146484375
561,13580.357421875
562,12720.9755859375
563,7854.2568359375
564,7282.20361328125
565,5500.45849609375
566,4823.89599609375
567,6087.28173828125
568,6128.11279296875
569,10443.3955078125
570,13289.6650390625
571,5619.15380859375
572,5347.734375
573,11721.591796875
574,12792.31640625
575,8087.5732421875
576,7170.65966796875
577,6105.181640625
578,5049.337890625
579,5438.6064453125
580,6448.58642578125
581,8462.6298828125
582,12969.4140625
583,9797.5712890625
584,11022.65234375
585,11102.35546875
586,10587.9091796875
587,7164.31005859375
588,6657.783203125
589,5624.3603515625
590,5036.40625
591,6805.63427734375
592,7058.3134765625
593,12521.3046875
594,12224.2822265625
595,9414.412109375
596,11031.9833984375
597,11134.951171875
598,8007.916015625
599,7710.86376953125
600,7036.880859375
601,6635.9951171875
602,6664.22802734375
603,6868.25341796875
604,11177.4375
605,13292.16796875
606,5752.16943359375
607,5908.98583984375
608,11227.9736328125
609,10436.6728515625
610,8482.361328125
611,7688.314453125
612,6729.95361328125
613,7805.2568359375
614,8661.0068359375
615,8459.72265625
616,11139.375
617,13142.947265625
618,9012.8623046875
619,10519.1474609375
620,9801.9287109375
621,8790.2783203125
622,6851.23486328125
623,6674.318359375
624,6578.15234375
625,8365.509765625
626,8348.3701171875
627,9301.599609375
