,y_true
0,2994.63525390625
1,5610.2607421875
2,4342.90380859375
3,2823.9736328125
4,5956.33056640625
5,6913.2294921875
6,6444.29833984375
7,5673.109375
8,3985.9951171875
9,3825.98974609375
10,5905.2216796875
11,4937.07470703125
12,5808.0009765625
13,5375.18359375
14,4760.119140625
15,4360.39501953125
16,7659.29443359375
17,6113.25537109375
18,4759.01025390625
19,4210.6591796875
20,5357.0732421875
21,6572.2763671875
22,5541.10986328125
23,4546.66796875
24,4504.24267578125
25,5487.29736328125
26,5508.8564453125
27,8262.474609375
28,6585.990234375
29,5864.138671875
30,6861.80322265625
31,6284.130859375
32,6643.337890625
33,5145.79443359375
34,5771.60400390625
35,5955.0146484375
36,4793.32861328125
37,5877.88427734375
38,5283.5068359375
39,4802.1416015625
40,7412.38037109375
41,7444.36328125
42,5560.861328125
43,6361.83935546875
44,6607.216796875
45,7098.16357421875
46,6174.43798828125
47,4524.849609375
48,4969.0185546875
49,4835.2958984375
50,6136.39453125
51,5484.61279296875
52,4448.31591796875
53,4686.15380859375
54,4690.146484375
55,7965.84375
56,5828.6103515625
57,6180.1435546875
58,7121.986328125
59,6917.3369140625
60,6654.791015625
61,5249.95458984375
62,4928.27978515625
63,5500.9990234375
64,5360.814453125
65,4976.875
66,5703.076171875
67,4009.640625
68,5261.87890625
69,7497.267578125
70,6589.37109375
71,5988.02978515625
72,6932.82958984375
73,7163.259765625
74,6726.5732421875
75,5500.51953125
76,5293.400390625
77,5238.451171875
78,5745.5322265625
79,5717.87841796875
80,5352.466796875
81,4591.80712890625
82,3814.4033203125
83,4346.24755859375
84,6209.06201171875
85,6521.40771484375
86,5491.1767578125
87,6629.72998046875
88,7454.57421875
89,7137.109375
90,6005.798828125
91,5091.2353515625
92,5185.64111328125
93,5327.86279296875
94,5550.6474609375
95,5855.00244140625
96,5135.2431640625
97,4756.6923828125
98,4068.22900390625
99,3923.230224609375
100,7398.9833984375
101,4166.45263671875
102,6124.04638671875
103,7358.01171875
104,7197.8544921875
105,5265.69189453125
106,5027.53125
107,4771.4404296875
108,5539.7431640625
109,5646.4326171875
110,5778.11376953125
111,5646.98974609375
112,4968.587890625
113,4859.1533203125
114,7264.62939453125
115,5018.859375
116,5189.490234375
117,7190.59033203125
118,7370.08544921875
119,5596.75390625
120,4579.833984375
121,3809.11669921875
122,4657.1728515625
123,5658.50732421875
124,5958.7236328125
125,5537.73974609375
126,5145.62158203125
127,4836.75390625
128,3154.501953125
129,5688.9833984375
130,7321.83251953125
131,5736.9375
132,4640.87939453125
133,6559.66455078125
134,7184.93994140625
135,7451.6904296875
136,6130.4345703125
137,4492.27734375
138,4104.9130859375
139,5715.333984375
140,5885.82470703125
141,5694.7666015625
142,5293.8125
143,5137.837890625
144,4384.39501953125
145,5621.673828125
146,7257.990234375
147,5052.181640625
148,4869.677734375
149,6717.46044921875
150,5710.76123046875
151,6333.59326171875
152,5617.978515625
153,4540.6103515625
154,5011.69091796875
155,5646.4443359375
156,5161.8701171875
157,4825.26171875
158,4952.41845703125
159,4937.6044921875
160,6188.82470703125
161,7634.142578125
162,6561.21337890625
163,5796.796875
164,6665.9296875
165,7378.43701171875
166,5684.4697265625
167,5733.75439453125
168,5797.2001953125
169,5310.20166015625
170,4636.33837890625
171,5800.24951171875
172,5016.07177734375
173,4861.47998046875
174,5009.48388671875
175,4902.88623046875
176,7153.82080078125
177,7484.23486328125
178,6146.99951171875
179,6840.7822265625
180,7236.06884765625
181,7335.88671875
182,5423.6552734375
183,5708.0546875
184,5636.82177734375
185,5939.83837890625
186,5849.1279296875
187,4685.068359375
188,4761.70361328125
189,4867.36669921875
190,3863.83837890625
191,7560.98046875
192,7546.390625
193,6066.48486328125
194,6558.9765625
195,7239.1279296875
196,7653.18017578125
197,6534.33935546875
198,5644.42919921875
199,5575.4775390625
200,5865.982421875
201,7358.6552734375
202,6391.88037109375
203,6286.529296875
204,3433.885498046875
205,4444.21240234375
206,7207.0029296875
207,7547.7275390625
208,6215.06982421875
209,6056.392578125
210,6980.28076171875
211,7251.66064453125
212,7062.3056640625
213,6187.92333984375
214,5868.04150390625
215,5824.5654296875
216,6956.6884765625
217,7863.2822265625
218,6778.4697265625
219,7491.49072265625
220,4875.697265625
221,4988.77734375
